Input Word,True Output,My Decoded Output,Matching or Not
digabadina,దిగబడిన,దిగబడిన,Yes
diskount,డిస్కౌంట్,డిస్కుంట్,No
heroiine,హీరోయిన్,హీరోయిన్,Yes
annapolis,అన్నపోలిస్,అన్నాపోలిస్,No
tekchandani,టెక్చందని,తేక్చందని,No
kullu,కులు,కుల్లు,No
sakaarupai,సకారుపై,శకారుపై,No
addankulanu,అడ్డంకులను,అడ్డంకులను,Yes
bhaagaalaku,భాగాలకు,భాగాలకు,Yes
kapili,కపిలి,కపిలి,Yes
vinimaya,వినిమయ,వినిమయ,Yes
leedhoo,లేదో,లీదో,No
vahimchaalani,వహించాలని,వహించాలని,Yes
srichakra,శ్రీచక్ర,శ్రీచక్ర,Yes
pramukhulato,ప్రముఖులతో,ప్రముఖులతో,Yes
ellugaa,ఏళ్లుగా,ఎల్లుగా,No
navambaruloe,నవంబరులో,నవంబరులో,Yes
bhawanaalalo,భవనాలలో,భవనాలలో,Yes
vyaakhyalanu,వ్యాఖ్యలను,వ్యాఖ్యలను,Yes
uparithal,ఉపరితల,ఉపాితాల్,No
samitini,సమితిని,సమిటిని,No
nachhi,నచ్చి,నచ్చి,Yes
pettukolekapoinaa,పెట్టుకోలేకపోయినా,పెట్టుకోలేకపోయానా,No
movers,మోవర్స్,మోవర్స్,Yes
runaalapai,రుణాలపై,రుణాలపై,Yes
aabba,అబ్బా,ఆబ్బ,No
mutyaalu,ముత్యాలు,ముత్యాలు,Yes
cotton,కాటన్,కాట్టన్,No
heblikar,హెబిల్కర్,హెబ్లికర్,No
bharadwaj,భరద్వాజ,భరద్వాజ్,No
flight,ఫ్లైట్,ఫ్లిగ్ట్,No
teacherlake,టీచర్లకే,టీచర్లకే,Yes
sonwani,సోన్వానీ,సోన్వానీ,Yes
vaasudeva,వాసుదేవ,వాసుదేవ,Yes
molakalu,మొలకలు,మొలకలు,Yes
glen,గ్లెన్,గ్లెన్,Yes
gummaa,గుమ్మా,గుమ్మా,Yes
varnhamaala,వర్ణమాల,వర్ణమాల,Yes
naveen,నవీన్,నవీన్,Yes
juniors,జూనియర్స్,జునియోర్స్,No
sangrur,సంగ్రూర్,సాంగ్రూర్,No
ateendriya,అతీంద్రియ,అతీంద్రియ,Yes
barron,బ్యారన్,బార్రోన్,No
aandhralo,ఆంధ్రలో,ఆంధ్రలో,Yes
randhawa,రంధావా,రంధవా,No
dharsi,దర్శి,ధర్శీ,No
aamodinchindi,ఆమోదించింది,ఆమోదించింది,Yes
acevedo,యాసెవెడో,ఎసెవేడో,No
anugrahimchevaadu,అనుగ్రహించేవాడు,అనుగ్రహించేవాడు,Yes
dialogue,డైలాగ్,డయోలగర,No
yaajamaanyam,యాజమాన్యం,యాజమాన్యం,Yes
iquity,ఈక్విటీ,ఇకువిటీ,No
put,పుత్,పుట్,No
cutler,కట్లర్,కుటల్,No
chase,చేస్,చాస్,No
bhuummida,భూమ్మీద,భూమ్మిదా,No
kottukoovadaaniki,కొట్టుకోవడానికి,కొట్టుకోవడానికి,Yes
suprabhaata,సుప్రభాత,సుప్రభాత,Yes
nootan,నూతన్,నూతన్,Yes
kotipalli,కోటిపల్లి,కోటిపల్లి,Yes
pattanhaaniki,పట్టణానికి,పట్టణానికి,Yes
galadu,గలడు,గలాడు,No
pravesinchadaniki,ప్రవేశించడానికి,ప్రవేశించడానికి,Yes
raktamunu,రక్తమును,రక్తమును,Yes
shankdhar,శంక్ధర్,శంంద్ర,No
fell,ఫెల్,ఫెల్,Yes
adharmamu,అధర్మము,అధర్మము,Yes
syngene,సింజిన్,సింగేన్,No
abhimaanullo,అభిమానుల్లో,అభిమానుల్లో,Yes
amkitamai,అంకితమై,అంకితమై,Yes
vaagvaadaaniki,వాగ్వాదానికి,వాగ్వాదానికి,Yes
lv,ఎల్వీ,లేవీ,No
magguthunna,మగ్గుతున్న,మగ్గుతున్నా,No
sherbet,షర్బత్,షెర్బెట్,No
thayaaniidhaarulu,తయారీదారులు,తయానీధారులు,No
gonaagannaa,గొనాగన్నా,గొనగాన్నా,No
bharatiyulato,భారతీయులతో,భారతియులతో,No
teesukellindani,తీసుకెళ్ళిందని,తీసుకెళ్ళిందని,Yes
cheeyavalsindigaa,చేయవలసిందిగా,చీయవల్సిందిగా,No
charchilalo,చర్చిలలో,చర్చిలలో,Yes
rishikeshi,రిషికేషి,రిశికేషి,No
telipae,తెలిపే,తెలిపే,Yes
lalo,లలో,లాలో,No
aadhvaryamuloo,ఆధ్వర్యములో,ఆధ్వర్యములో,Yes
raavaalsi,రావాల్సి,రావాల్సి,Yes
dattamgaa,దిట్టంగా,దత్తంగా,No
pikka,పిక్క,పిక్క,Yes
prashninchalekapoyindi,ప్రశ్నించలేకపోయింద,ప్రశ్నించలేకపోయింది,No
malwan,మాల్వన్,మాల్వాన్,No
vyatyaasaalu,వ్యత్యాసాలు,వ్యత్యాసాలు,Yes
awasthi,అవస్థి,అవస్తి,No
teecharugaa,టీచరుగా,తీచరుగా,No
delhini,ఢిల్లీని,దెల్హిని,No
saasar,సాసర్,శాసర్,No
anipinchi,అనిపించి,అనిపించి,Yes
sobhanu,శోభను,శోభనను,No
aana,అణా,ఆనా,No
jeense,జీన్స్,జీన్సె,No
niraakarinchadamto,నిరాకరించడంతో,నిరాకరించడంతో,Yes
dyooyasku,డ్యూయస్కు,ద్యోయస్కు,No
klein,క్లీన్,క్లీన్,Yes
roadlu,రోడ్లు,రోడ్లు,Yes
niyamangaa,నియమంగా,నియమంగా,Yes
kashaayaalanu,కషాయాలను,కశాయాలను,No
visaka,విశాఖ,విశాక,No
nayeem,నయీం,నాయం,No
narala,నరల,నరాల,No
vallabhai,వల్లభాయై,వల్లభాయి,No
rakshana,రక్షణ,రక్షణ,Yes
vaarthala,వార్తల,వార్తల,Yes
tirigindanipinchindi,తిరిగిందనిపించింది,తిరిగిందనిపించింది,Yes
lakshanhamulanu,లక్షణములను,లక్షణంములను,No
shstrachikitsalo,శస్త్రచికిత్సలో,శస్త్రచికిత్సలో,Yes
aajaadh,ఆజాద్,ఆజాధ్,No
pravaesinchina,ప్రవేశించిన,ప్రవేశించిన,Yes
suuchinchae,సూచించే,సూచించే,Yes
cheyunu,చేయును,చేయును,Yes
aathmatho,ఆత్మతో,ఆత్మతో,Yes
kshetranni,క్షేత్రాన్ని,క్షేత్రన్ని,No
inta,ఇంత,ఇంట,No
haute,ఔట్,హాతే,No
vidyaardhula,విద్యార్ధుల,విద్యార్ధుల,Yes
kakatiyula,కాకతీయుల,కాకటియుల,No
shivunipai,శివునిపై,శివునిపై,Yes
pravesinchadu,ప్రవేశించాడు,ప్రవేశించదు,No
ramanamaharshula,రమణమహర్షుల,రమణమహా్్షుల,No
shrivas,శ్రీవాస్,శ్రీవాస్,Yes
chelleymma,చెల్లెమ్మ,చెల్లిమ్మ,No
teravaalanukuntunnaarani,తెరవాలనుకుంటున్నార,తెరవాలనుకుంటున్నారని,No
keiith,కీత్,కీటి,No
mottukundi,మొత్తుకుంది,మొత్తుకుంది,Yes
chetan,చేతన్,చేతన్,Yes
poojinchadam,పూజించడం,పూజించడం,Yes
face,ఫేస్,ఫేస్,Yes
penampie,పెనంపై,పెనంపై,Yes
badhyatlanu,బాధ్యతలను,బాధ్యత్లను,No
yadala,యడల,యడలల,No
konasaagutondani,కొనసాగుతోందని,కొనసాగుతోందని,Yes
cals,కాల్స్,కాల్స్,Yes
wolf,వుల్ఫ్,వోల్ఫ్,No
mamdulanu,మందులను,మందులను,Yes
poorita,పూరిత,పోరిత,No
paerlaku,పేర్లకు,పేర్లకు,Yes
sundar,సుందర్,సుందర్,Yes
raheembhaasha,రహీంభాష,రహీంభాష,Yes
pilar,పిల్లర్,పిలార్,No
pillanagroovi,పిల్లనగ్రోవి,పిల్లనగ్రోవి,Yes
urbana,అర్భన,ఉర్బన,No
roanoke,రోనోక్,రోయానోకే,No
vikalangulu,వికలాంగులు,వికలాంగులు,Yes
financiers,ఫైనాన్షియర్స్,ఫైనాన్సియర్స్,No
ennikanu,ఎన్నికను,ఎన్నికను,Yes
shahjahanpur,షాజహాన్పూర్,శాజజానపపర్,No
poortunnaaru,పోతున్నారు,పోర్తున్నారు,No
woodbury,వుడ్బురీ,వుడ్బూరీ,No
manduni,మందుని,మందుని,Yes
pramaanhamulu,ప్రమాణములు,ప్రమాణములు,Yes
moosiveyaalani,మూసివేయాలని,మూసివేయాలని,Yes
vyaktulato,వ్యక్తులతో,వ్యక్తులతో,Yes
sevalandincharu,సేవలందించారు,సేవలందించారు,Yes
jind,జిండ్,జిండ్,Yes
rakalloo,రకాల్లో,రకా్లో,No
paaradarshakata,పారదర్శకత,పారదర్శకత,Yes
tiraskarinchalekapovachhu,తిరస్కరించలేకపోవచ్,తిరస్కరించలోకపోవచ్చు,No
phraiday,ఫ్రైడే,ఫ్రైడాయ్,No
daariki,దారికి,దారికి,Yes
pennington,పెన్నింగ్టన్,పెన్నింగ్టన్,Yes
chaerukunna,చేరుకున్న,చేరుకున్న,Yes
alayamlo,ఆలయంలో,అలయంలో,No
kuulindhi,కూలింది,కూలింది,Yes
miami,మియామీ,మియామి,No
paastha,పాస్తా,పాస్త,No
pittasaya,పిత్తాశయ,పిట్టసశయ,No
sowbhari,సౌభరి,సౌభరరి,No
chhatarpur,ఛతర్పూర్,చటార్పూర్,No
linde,లిందే,లిండే,No
medina,మెడీనా,మీదిన,No
blue,బ్లు,బ్లూయ్,No
maarite,మారితే,మారిటే,No
russian,రష్యన్,రస్సియన్,No
oohinchukogamaa,ఊహించుకోగమా,ఊహించుకోమగా,No
nizamat,నిజామత్,నిజామాట్,No
chestunnatlenani,చేస్తున్నట్లేనని,చేస్తున్నట్లేనని,Yes
aranhyamloe,అరణ్యంలో,అరణ్యంలో,Yes
pempupai,పెంపుపై,పెంపుపై,Yes
vishvaasaanni,విశ్వాసాన్ని,విశ్వాసాన్ని,Yes
engines,ఇంజిన్స్,ఇంజిన్స్,Yes
maarchataniki,మార్చటానికి,మార్చటనికి,No
unchukunnaavu,ఉంచుకున్నావు,ఉంచుకున్నావు,Yes
ghatanapai,ఘటనపై,ఘటనపై,Yes
asamarthata,అసమర్థత,అసమర్తత,No
patan,పఠాన్,పతాన్,No
gravita,గ్రవిట,గ్రావిత,No
harmonula,హార్మోనుల,హర్్మోనుల,No
digendhuku,దిగేందుకు,దిగేంధుకు,No
dilli,డిల్లీ,డిల్లి,No
jaateeyoodyamaaniki,జాతీయోద్యమానికి,జాతీయోద్యమానికి,Yes
raashtraallonoo,రాష్ట్రాల్లోనూ,రాష్ట్రాల్లోనూ,Yes
kollam,కొల్లం,కొల్లామ్,No
shelli,షెల్లీ,షెల్లి,No
sheshayya,శేషయ్య,శేషయ్య,Yes
sons,సన్స్,సోన్స్,No
bullhead,బుల్హెడ్,బుల్లీహాడ్,No
gond,గొండ్,గొండ్,Yes
dhanyamunu,ధాన్యమును,ధన్యమును,No
arena,అరిన,అరెనా,No
akkadikakkade,అక్కడికక్కడే,అక్కడికక్కడే,Yes
sannaddham,సన్నద్ధం,సన్నద్ధం,Yes
gentry,గెంట్రీ,జెంట్రీ,No
saadhyamavutaayannaaru,సాధ్యమవుతాయన్నారు,సాధ్యమవుతాయన్నారు,Yes
abhipraayapadutunnattu,అభిప్రాయపడుతున్నట్,అభిప్రాయపడుతున్నట్టు,No
vechchinchalekapovachchu,వెచ్చించలేకపోవచ్చు,వెచ్చించలేకపోవచ్చు,Yes
paaramparya,పారంపర్య,పారంపర్య,Yes
patayae,పతయే,పాటయే,No
thaagindhi,తాగింది,తాగింది,Yes
prajaachaitanyamlo,ప్రజాచైతన్యంలో,ప్రజాచైతన్యంలో,Yes
rakthahinatha,రక్తహినత,రక్తహినాథ,No
khaidiga,ఖైదీగా,ఖైడిగా,No
dittamga,దిట్టంగా,దిత్తంగా,No
upayoginchukunnaamani,ఉపయోగించుకున్నామని,ఉపయోగించుకున్నామని,Yes
raichur,రాయ్చూర్,రైచూర్,No
operative,ఆపరేటివ్,ఆపరేటివ్,Yes
vamsiiyulu,వంశీయులు,వంశీయులు,Yes
longmont,లాంగ్మొంట్,లాంగ్మొంట్,Yes
pattanaalaku,పట్టణాలకు,పట్టణాలకు,Yes
konukkuntunnaaraa,కొనుక్కుంటున్నారా,కొనుక్కుంటున్నారా,Yes
undanundi,ఉండనుంది,ఉండనుంది,Yes
rakhecha,రఖేచ,రఖీచ్,No
maurya,మౌర్య,మౌర్య,Yes
mitra,మిత్ర,మిత్ర,Yes
alipore,అలీపూర్,అలిపోర్,No
challagaanee,చల్లగానే,చల్లగానీ,No
puttee,పుట్టే,పుట్టీ,No
yajamanyam,యాజమాన్యం,యాజమాన్యం,Yes
ou,ఔ,ఊస,No
todimelni,తొడిమెల్ని,తోడిమెళ్ని,No
bharatiyulandariki,భారతీయులందరికీ,భారతియులందరికీ,No
taginanni,తగినన్ని,తగినన్ని,Yes
bhaagaswaamulu,భాగస్వాములు,భాగస్వాములు,Yes
vysya,వైస్య,వైస్యా,No
yerpadaka,ఏర్పడక,ఏర్పడక,Yes
cheeyinchatam,చేయించటం,చీయించటం,No
punarnirmaanha,పునర్నిర్మాణ,పునర్నిర్మాణ,Yes
mahaanubhaavudu,మహానుభావుడు,మహానుభావుడు,Yes
pukto,పుక్తో,పుక్తో,Yes
cookie,కుకీ,కుకీ,Yes
bhaagaalathoo,భాగాలతో,భాగాలతో,Yes
choppinchukunnaadu,చొప్పించుకున్నాడు,చొప్పించుకున్నాడు,Yes
varanasiloo,వారణాసిలో,వరణశిలో,No
prishuddhamaina,పరిశుద్ధమైన,ప్రిచుద్ధమైన,No
aathma,ఆత్మ,ఆత్మ,Yes
satyaagrahanni,సత్యాగ్రహాన్ని,సత్యగర్హాన్ని,No
raalla,రాళ్ళ,రాళ్ళ,Yes
horettipotunnaaru,హోరెత్తిపోతున్నారు,హోరెత్తిపోతున్నారు,Yes
kattimchi,కట్టించి,కట్టించి,Yes
nammika,నమ్మిక,నమ్మిక,Yes
vyavaharinchaevaru,వ్యవహరించేవారు,వ్యవహరించవేరు,No
gajaraaju,గజరాజు,గజరాజు,Yes
wylie,వయ్లీ,వైలీ,No
ruubber,రబ్బర్,రూబర్,No
nirvaakam,నిర్వాకం,నిర్వాకం,Yes
organisation,ఆర్గనైజేషన్,ఆర్గానిసేషన్,No
samdharshni,సమదర్శిని,సంధర్ష్ని,No
damoh,దమోహ్,దామోహ్,No
nowgong,నౌగాంగ్,నౌగోంగ్,No
paruchuuri,పరుచూరి,పరుచూరి,Yes
imtaa,ఇంతా,ఇంతా,Yes
chakma,చక్మా,చక్మ,No
daulatabad,దౌల్తాబాద్,దౌలతబాద్,No
rudruni,రుద్రుని,రుద్రుణి,No
ajirnamu,అజీర్ణము,అజిర్నము,No
perigipoyinappatiki,పెరిగిపోయినప్పటికీ,పెరిగిపోయినప్పటికీ,Yes
adhaulia,అధౌలియా,అధులియా,No
daadi,దాడి,దాడి,Yes
abba,అబ్బా,అబ్బా,Yes
icici,ఐసీఐసీఐ,ఐాిసీ,No
varnhimchaemduku,వర్ణించేందుకు,వర్ణించేేందుకు,No
anukuntunnayi,అనుకుంటున్నాయి,అనుకుంటున్నాయి,Yes
aakaaraalu,ఆకారాలు,ఆకారాలు,Yes
global,గ్లోబల్,గ్లోబల్,Yes
kutsitapu,కుత్సితపు,కుత్సితపు,Yes
patishthingaa,పటిష్ఠంగా,పటిష్ఠింగా,No
thisukogaane,తీసుకోగానే,తీసుకోగానే,Yes
innar,ఇన్నర్,ఇన్నార్,No
pillangrovi,పిల్లనగ్రోవి,పిల్లంగ్రోవి,No
ratelaku,రేట్లకు,రతేలకు,No
gajanna,గజన్న,గజా్న,No
fatehpur,ఫతేపూర్,ఫేతెఫ్రూర్,No
gottamu,గొట్టము,గొట్టము,Yes
sitapur,సీతాపూర్,సీతాపూర్,Yes
shailajaareddi,శైలజారెడ్డి,శైలజారెడ్డి,Yes
chaeyu,చేయు,చేయు,Yes
kattinchadam,కట్టించడం,కట్టించడం,Yes
newton,న్యూటన్,న్యూటన్,Yes
ware,వేర్,వార్,No
mruturaali,మృతురాలి,మృతురాలి,Yes
gharadi,గారడీ,ఘరాది,No
jacinto,జాసింటో,జసింటో,No
orugallunu,ఓరుగల్లును,ఓరుగల్లును,Yes
jeyumani,జేయుమని,జేయుమని,Yes
sastravettagaa,శాస్త్రవేత్తగా,శాస్త్వవేత్తగా,No
waseem,వసీం,వసీం,Yes
vaayis,వాయిస్,వాయిస్,Yes
byadmintan,బ్యాడ్మింటన్,బ్యాడ్మింటన్,Yes
anuragalu,అనురాగాలు,అనురగలు,No
suresh,సురేశ్,సురేశ్,Yes
aadeshinchadam,ఆదేశించడం,ఆదేశించడం,Yes
thaakre,ఠాక్రే,ఠాక్రే,Yes
johara,జొహర,జోహర,No
digajaarchukuntunna,దిగజార్చుకుంటున్న,దిగజార్చుకుంటున్న,Yes
avondale,అవొండలే,ఆవోండాలె,No
ketaayistunnaayani,కేటాయిస్తున్నాయని,కేటాయిస్తున్నాయని,Yes
lynchburg,లంచ్బర్గ్,లిం్క్రర్గ్,No
kree,క్రీ,క్రీ,Yes
dayaananda,దయానంద,దయానంద,Yes
vachchinappati,వచ్చినప్పటి,వచ్చినప్పతి,No
maathyoos,మాథ్యూస్,మాథ్యూస్,Yes
balagaalatoe,బలగాలతో,బలగాలతో,Yes
anakonda,అనకొండ,అనకొండ,Yes
sivasaenaku,శివసేనకు,శివసేనకు,Yes
dopideeki,దోపిడీకి,దోపిడీకి,Yes
sariiramloeni,శరీరంలోని,శరీరంలోని,Yes
movers,మూవర్స్,మోవర్స్,No
rawlani,రావ్లాని,రావ్లని,No
fertilizers,ఫెర్టిలైజర్స్,ఫెర్టిలిజర్స్,No
zavala,జవల,జవాల,No
abaddaala,అబద్ధాల,అబద్దాల,No
maaphee,మాఫీ,మాఫీ,Yes
sarasota,సరసోట,సరసోతా,No
securities,సెక్యూరిటీస్,సెక్యురీటీస్,No
kru,కృ,క్రూ,No
gantyaada,గంట్యాడ,గంత్యాద,No
anam,అనమ్,అనామ్,No
columbus,కొలంబస్,కాలంబూ్,No
tannina,తన్నిన,తన్నిన,Yes
mumbailoo,ముంబైలో,ముంబైయో,No
prakatanalaku,ప్రకటనలకు,ప్రకటనలకు,Yes
niyojakavargaallo,నియోజకవర్గాల్లో,నియోజకవర్గాల్లో,Yes
jind,జింద్,జిండ్,No
voice,వాయిస్,వాయిక్,No
ithara,ఇతర,ఇతర,Yes
ugravaadam,ఉగ్రవాదం,ఉగ్రవాదం,Yes
sastraalaku,శాస్త్రాలకు,శస్త్రాలకు,No
surjery,సర్జరీ,సర్జరీ,Yes
sevagram,సేవాగ్రామ్,సేవగ్రం,No
ghoramgaa,ఘోరంగా,ఘోరంగా,Yes
rachanala,రచనల,రచనల,Yes
machra,మాచ్రా,మచచ్ర,No
nimishaniki,నిమిషానికి,నిమిషనికి,No
sabhyatvaanni,సభ్యత్వాన్ని,సభ్యత్వాన్ని,Yes
vesara,వేసారా,వేసారా,Yes
shivamogga,శివమొగ్గ,శివమోగ్గ,No
breweries,బ్రూవరీస్,బ్రూవీరీస్,No
grastula,గ్రస్తుల,గ్రాస్టుల,No
ammee,అమ్మే,అమ్మే,Yes
vennupotu,వెన్నుపోటు,వెన్నుపోతు,No
bigbaas,బిగ్బాస్,బిగ్బాస్,Yes
abhimanamto,అభిమానంతో,అభిమానంతో,Yes
chaerukunnappudu,చేరుకున్నప్పుడు,చేరుకున్నప్పుడు,Yes
mikki,మిక్కీ,మిక్కి,No
dominguez,డొమైన్గెజ్,డొమింగ్యూజ్,No
parachimdi,పరచింది,పరచింది,Yes
chitrikarinchadaniki,చిత్రించడానికి,చిత్రీకరించడానికి,No
centro,సెంట్రో,సెంట్రో,Yes
raajyasabhalo,రాజ్యసభలో,రాజ్యసభలో,Yes
angelo,ఏంజెలో,యాంగెలో,No
raamaaloni,రామాలోని,రామాలోని,Yes
telusukunevaariki,తెలుసుకునేవారికి,తెలుసుకునేవారికి,Yes
aanthoni,ఆంథోనీ,ఆంతోని,No
chestundaa,చేస్తుందా,చేస్తుందా,Yes
randall,రండల్,రండల్ల్,No
coast,కోస్ట్,కాసిట్,No
fullerton,ఫులర్టన్,ఫులర్టట్,No
oswal,ఓస్వాల్,ఒస్వాల్,No
veraval,వేరావల్,వెరవల్,No
bhuubhaalanu,భూభాగాలను,భూభాలను,No
churchinchalani,చర్చించాలని,చూర్చించాలని,No
koraput,కోరాపుట్,కొరపుత్,No
reading,రీడింగ్,రీడింగ్,Yes
vijay,విజయ్,విజయ్,Yes
roogaalu,రోగాలు,రూగాలు,No
gorrelu,గొర్రెలు,గోర్రెలు,No
gaya,గయ,గాయ,No
kalaburagi,కలబురాగి,కలబబురగగి,No
besy,బేసి,బెసీ,No
prataaparudra,ప్రతాపరుద్ర,ప్రతాపరుద్ర,Yes
kulal,కులాల్,కులాల్,Yes
sakramamgaa,సక్రమంగా,సక్రమంగా,Yes
paluchana,పలుచన,పలుచన,Yes
perez,పెరెజ్,పెరెజ్,Yes
vijayanni,విజయాన్ని,విజయన్ని,No
sunteck,సుంటెక్,సంంటెక్,No
onmobile,ఆన్మొబైల్,ఒన్మొబిలే,No
zydus,జైడస్,జైడూస్,No
eppatinuncho,ఎప్పటినుంచో,ఎప్పటినుంచో,Yes
charithrathmaka,చరిత్రాత్మక,చరిత్రత్మక,No
badhinchadu,బాధించాడు,బాధించాడు,Yes
mahankmadaan,మహంక్మాడాన్,మహాంక్మదాన్,No
cherukunnaru,చేరుకున్నారు,చేరుకున్నారు,Yes
ahaaramtoo,ఆహారంతో,ఆహారంతో,Yes
amtaloenae,అంతలోనే,అంతలోనే,Yes
iqbal,ఇక్బాల్,ఇక్బాల్,Yes
islands,ఐలాండ్స్,ఇస్లాండ్స్,No
bommalloo,బొమ్మల్లో,బొమ్మల్లో,Yes
kavitalaloe,కవితలలో,కవితలలో,Yes
pratiphalamgaa,ప్రతిఫలంగా,ప్రతిఫలంగా,Yes
baiswar,బైశ్వర్,బైస్వర్,No
shivpuri,శివ్పురి,షివ్పురి,No
udayame,ఉదయమే,ఉదయమే,Yes
himadri,హిమద్రి,హిమద్రి,Yes
antoniyo,ఆంటోనియో,అంతోనియో,No
varasa,వరస,వాసాసా,No
maaradamto,మారడంతో,మారడంతో,Yes
tanakedo,తనకేదో,తనకేదో,Yes
kootiki,కూటికి,కూటికి,Yes
khaataadaarulaku,ఖాతాదారులకు,ఖాతాదారులకు,Yes
thamaku,తమకు,తమకు,Yes
chestunnaarantoo,చేస్తున్నారంటూ,చేస్తున్నారంతూ,No
rakamagaanu,రకంగానూ,రకమగాను,No
budge,బడ్జ్,బడ్జ్,Yes
saalaajar,సాలాజర్,శాలాజర్,No
afreen,అఫ్రీన్,అఫ్రీన్,Yes
marakalu,మరకలు,మరకలు,Yes
hazaribag,హజారీబాగ్,హజరిబాగ్,No
khaidilanu,ఖైదీలను,ఖైదిలను,No
varshaabhaava,వర్షాభావ,వర్షాభావ,Yes
tattabotunnaayani,తట్టబోతున్నాయని,తట్టబోతున్నాయని,Yes
baadhyathalanu,బాధ్యతలను,బాధ్యతలను,Yes
brake,బ్రేక్,బ్రాకె,No
niiluni,నీలుని,నిలుని,No
maarchenduku,మార్చేందుకు,మార్చేందుకు,Yes
gond,గోంద్,గొండ్,No
mplaku,ఎంపీలకు,మెప్లకు,No
lekkana,లెక్కన,లెక్కన,Yes
finley,ఫిన్లీ,ఫిన్లీ,Yes
oppesukuntundi,ఒప్పెసుకుంటుంది,ఒప్పెసుకుంటుంది,Yes
suraes,సురేశ్,సురేస్,No
elvee,ఎల్వీ,ఎల్వీ,Yes
jarugakundaa,జరుగకుండా,జరుగకుండా,Yes
chotuku,చోటుకు,చోటుకు,Yes
thiruppaavai,తిరుప్పావై,తిరుప్పావై,Yes
inela,ఈనెల,ఇనేలా,No
prajektulu,ప్రాజెక్టులు,ప్రజెక్తులు,No
puttabotunnaadantoo,పుట్టబోతున్నాడంటూ,పుట్టబోతున్నాడంతూ,No
gantyada,గంట్యాడ,గంత్యాా,No
sampaadinchukuntaamannade,సంపాదించుకుంటామన్న,సంపాదించుకుంటామన్నదే,No
enchukunnaru,ఎంచుకున్నారు,ఎంచుకున్నారు,Yes
addupettukunnaarani,అడ్డుపెట్టుకున్నార,అడ్డుపెట్టుకున్నారని,No
durgapur,దుర్గాపూర్,దుర్గాపూర్,Yes
focus,ఫోకస్,ఫోకస్,Yes
mandamga,మందంగా,మందంగా,Yes
aibeeeslo,ఐబీఎస్లో,ఐబీజీల్లో,No
baharampur,బహరంపుర్,బహారంపూర్,No
thaati,తాటి,తాటి,Yes
livermore,లివర్మోర్,లివర్్మూర్,No
waybhase,వేభేస్,వాయాహేసే,No
draupadithoo,ద్రౌపదితో,ద్రపడితో,No
puvvulato,పువ్వులతో,పువ్వులతో,Yes
vaijayanti,వైజయంతీ,వైజయంతి,No
kanchan,కంచన్,కంచన్,Yes
durgavanshi,దుర్గావంశీ,దుర్గవవశశి,No
lein,లేన్,లీన్,No
dalton,డాల్టన్,డాల్టన్,Yes
banda,బండా,బండ,No
devisriprasad,దేవిశ్రీప్రసాద్,దేవీశ్రిప్రసాద్,No
hechdee,హెచ్డీ,హెచ్డీ,Yes
mataachaaraalanu,మతాచారాలను,మతాచారాలను,Yes
laguna,లగున,లాగున,No
successes,సక్సెస్,సక్సెస్స్,No
gandhimathi,గాంధిమతి,గంధిమతి,No
colorado,కొలరాడో,కోలోరాడో,No
tagginchukunnanani,తగ్గించుకున్నానని,తగ్గించుకున్నానని,Yes
konasaginavaru,కొనసాగినవారు,కొనసాగినవారు,Yes
amayaka,అమాయక,అమాయక,Yes
bhagalaku,భాగాలకు,భాగలకు,No
kosuuri,కోసూరి,కోసూరి,Yes
udikinchi,ఉడికించి,ఉడికించి,Yes
dal,దళ్,డాల్,No
khateeja,ఖతీజ,ఖతీజ,Yes
tappukunna,తప్పుకున్న,తప్పుకున్న,Yes
aaroohana,ఆరోహణ,ఆరోహణ,Yes
avataaraalu,అవతారాలు,అవతారాలు,Yes
riverside,రివర్సైడ్,రివర్సైడ్,Yes
alhambra,అల్హంబ్రా,అల్ంంబర్,No
praarambhinchukobotunna,ప్రారంభించుకోబోతున,ప్రారంభించుకోబోతున్న,No
padutunnaa,పడుతున్నా,పడుతున్నా,Yes
pekku,పెక్కు,పెక్కు,Yes
ardhalanu,అర్ధాలను,అర్థలను,No
labs,ల్యాబ్స్,లాబ్స్,No
nrutyaaniki,నృత్యానికి,నృత్యానికి,Yes
lakhmani,లక్మని,లఖ్మని,No
jaawed,జావేద్,జావెడ్,No
narwar,నర్వర్,నార్వర్,No
jamloki,జమ్లోకీ,జంలోకి,No
saharanpur,సహారన్పూర్,సహరంపూర్,No
dhanya,ధాన్య,ధన్య,No
ovaipu,ఓవైపు,ఓవైపు,Yes
french,ప్రెంచ్,ఫ్రెంచ్,No
cheyuvaaru,చేయువారు,చేయువారు,Yes
taditarulatoe,తదితరులతో,తదితరులతో,Yes
menon,మీనన్,మెనోన్,No
bahishkaristuu,బహిష్కరిస్తూ,బహిష్కరిస్తూ,Yes
shaeshayya,శేషయ్య,శేషయ్య,Yes
paalayyaadu,పాలయ్యాడు,పాలయ్యాడు,Yes
kunthii,కుంతీ,కుంతీ,Yes
negi,నెగి,నెగి,Yes
dorukutundanukunna,దొరుకుతుందనుకున్న,దొరుకుతుందనుకున్న,Yes
padmamuyokka,పద్మముయొక్క,పద్మమ్యొక్క,No
atuvantodenaa,అటువంటోడేనా,అటువంటోదేనా,No
guduri,గూడూరి,గుడూరి,No
livonia,లివోనియా,లివోనియా,Yes
padagottaaru,పడగొట్టారు,పడగొట్టారు,Yes
